CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
24035340;71;7/08/2024 10:34;181;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:34;175;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:36;181;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:36;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:38;176;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:38;182;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:40;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:40;174;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:42;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:42;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:44;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
